"","Index","Hydro_endpoint","Flow.Metric.Name","Threshold","Result","n","PercChans"
"140","csci","Peak_2","2-year flood magnitude","NAT","BothImpact",35,16.1290322580645
"141","csci","Peak_2","2-year flood magnitude","NATLow","HydroImpact",10,43.4782608695652
"142","csci","Peak_2","2-year flood magnitude","NATLow","BothImpact",13,56.5217391304348
"143","csci","Peak_2","2-year flood magnitude","NATMed","NoImpact",105,34.5394736842105
"144","csci","Peak_2","2-year flood magnitude","NATMed","BioImpact",70,23.0263157894737
"145","csci","Peak_2","2-year flood magnitude","NATMed","HydroImpact",44,14.4736842105263
"146","csci","Peak_2","2-year flood magnitude","NATMed","BothImpact",85,27.9605263157895
"147","csci","Peak_2","2-year flood magnitude","SB0","BothImpact",6,100
"148","csci","Peak_2","2-year flood magnitude","SB2","BothImpact",4,100
"149","csci","Peak_5","5-year flood magnitude","HB","HydroImpact",1,4.54545454545455
"150","csci","Peak_5","5-year flood magnitude","HB","BothImpact",21,95.4545454545455
"151","csci","Peak_5","5-year flood magnitude","NAT","HydroImpact",22,48.8888888888889
"152","csci","Peak_5","5-year flood magnitude","NAT","BothImpact",23,51.1111111111111
"153","csci","Peak_5","5-year flood magnitude","NATHigh","HydroImpact",90,30
"154","csci","Peak_5","5-year flood magnitude","NATHigh","BothImpact",210,70
"155","csci","Peak_5","5-year flood magnitude","NATLow","HydroImpact",12,26.0869565217391
"156","csci","Peak_5","5-year flood magnitude","NATLow","BothImpact",34,73.9130434782609
"157","csci","Peak_5","5-year flood magnitude","NATMed","HydroImpact",23,23.2323232323232
"158","csci","Peak_5","5-year flood magnitude","NATMed","BothImpact",76,76.7676767676768
"159","csci","Peak_5","5-year flood magnitude","SB0","BothImpact",6,100
"160","csci","Peak_5","5-year flood magnitude","SB2","BothImpact",12,100
"161","csci","Q99","Magnitude of largest annual storm","HB","HydroImpact",1,2.5
"162","csci","Q99","Magnitude of largest annual storm","HB","BothImpact",39,97.5
"163","csci","Q99","Magnitude of largest annual storm","NAT","HydroImpact",22,50
"164","csci","Q99","Magnitude of largest annual storm","NAT","BothImpact",22,50
"165","csci","Q99","Magnitude of largest annual storm","NATHigh","HydroImpact",90,30
"166","csci","Q99","Magnitude of largest annual storm","NATHigh","BothImpact",210,70
"167","csci","Q99","Magnitude of largest annual storm","NATLow","NoImpact",2,0.657894736842105
"168","csci","Q99","Magnitude of largest annual storm","NATLow","HydroImpact",208,68.4210526315789
"169","csci","Q99","Magnitude of largest annual storm","NATLow","BothImpact",94,30.9210526315789
"170","csci","Q99","Magnitude of largest annual storm","NATMed","HydroImpact",28,25.6880733944954
"171","csci","Q99","Magnitude of largest annual storm","NATMed","BothImpact",81,74.3119266055046
"172","csci","Q99","Magnitude of largest annual storm","SB0","BothImpact",4,100
"173","csci","Q99","Magnitude of largest annual storm","SB2","BioImpact",1,3.33333333333333
"174","csci","Q99","Magnitude of largest annual storm","SB2","BothImpact",29,96.6666666666667
"175","csci","SP_Mag","Spring recession magnitude","HB","NoImpact",1,2.5
"176","csci","SP_Mag","Spring recession magnitude","HB","BioImpact",38,95
"177","csci","SP_Mag","Spring recession magnitude","HB","BothImpact",1,2.5
"178","csci","SP_Mag","Spring recession magnitude","NAT","NoImpact",92,42.3963133640553
"179","csci","SP_Mag","Spring recession magnitude","NAT","BioImpact",35,16.1290322580645
"180","csci","SP_Mag","Spring recession magnitude","NAT","HydroImpact",49,22.5806451612903
"181","csci","SP_Mag","Spring recession magnitude","NAT","BothImpact",41,18.8940092165899
"182","csci","SP_Mag","Spring recession magnitude","NATHigh","HydroImpact",92,30.4635761589404
"183","csci","SP_Mag","Spring recession magnitude","NATHigh","BothImpact",210,69.5364238410596
"184","csci","SP_Mag","Spring recession magnitude","NATLow","NoImpact",201,66.1184210526316
"185","csci","SP_Mag","Spring recession magnitude","NATLow","BioImpact",84,27.6315789473684
"186","csci","SP_Mag","Spring recession magnitude","NATLow","HydroImpact",9,2.96052631578947
"187","csci","SP_Mag","Spring recession magnitude","NATLow","BothImpact",10,3.28947368421053
"188","csci","SP_Mag","Spring recession magnitude","NATMed","NoImpact",93,30.5921052631579
"189","csci","SP_Mag","Spring recession magnitude","NATMed","BioImpact",57,18.75
"190","csci","SP_Mag","Spring recession magnitude","NATMed","HydroImpact",56,18.4210526315789
"191","csci","SP_Mag","Spring recession magnitude","NATMed","BothImpact",98,32.2368421052632
"192","csci","SP_Mag","Spring recession magnitude","SB0","BioImpact",2,25
"193","csci","SP_Mag","Spring recession magnitude","SB0","BothImpact",6,75
"194","csci","SP_Mag","Spring recession magnitude","SB2","BioImpact",26,86.6666666666667
"195","csci","SP_Mag","Spring recession magnitude","SB2","BothImpact",4,13.3333333333333
"196","csci","Wet_BFL_Mag_10","Wet-season low baseflow","HB","NoImpact",1,2.5
"197","csci","Wet_BFL_Mag_10","Wet-season low baseflow","HB","BioImpact",16,40
"198","csci","Wet_BFL_Mag_10","Wet-season low baseflow","HB","BothImpact",23,57.5
"199","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","NoImpact",115,52.9953917050691
"200","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","BioImpact",47,21.6589861751152
"201","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","HydroImpact",26,11.9815668202765
"202","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","BothImpact",29,13.3640552995392
"203","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","NoImpact",207,68.0921052631579
"204","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","BioImpact",70,23.0263157894737
"205","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","HydroImpact",3,0.986842105263158
"206","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","BothImpact",24,7.89473684210526
"207","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","NoImpact",117,38.4868421052632
"208","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","BioImpact",88,28.9473684210526
"209","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","HydroImpact",32,10.5263157894737
"210","csci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","BothImpact",67,22.0394736842105
"211","csci","Wet_BFL_Mag_10","Wet-season low baseflow","SB0","BioImpact",8,100
"212","csci","Wet_BFL_Mag_10","Wet-season low baseflow","SB2","BioImpact",25,83.3333333333333
"213","csci","Wet_BFL_Mag_10","Wet-season low baseflow","SB2","BothImpact",5,16.6666666666667
"214","csci","Wet_BFL_Mag_50","Wet-season median baseflow","HB","NoImpact",1,2.5
"215","csci","Wet_BFL_Mag_50","Wet-season median baseflow","HB","BioImpact",36,90
"216","csci","Wet_BFL_Mag_50","Wet-season median baseflow","HB","BothImpact",3,7.5
"217","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NAT","NoImpact",84,38.7096774193548
"218","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NAT","BioImpact",42,19.3548387096774
"219","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NAT","HydroImpact",57,26.2672811059908
"220","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NAT","BothImpact",34,15.668202764977
"221","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATLow","NoImpact",208,68.4210526315789
"222","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATLow","BioImpact",88,28.9473684210526
"223","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATLow","HydroImpact",2,0.657894736842105
"224","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATLow","BothImpact",6,1.97368421052632
"225","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATMed","NoImpact",85,27.9605263157895
"226","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATMed","BioImpact",72,23.6842105263158
"227","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATMed","HydroImpact",64,21.0526315789474
"228","csci","Wet_BFL_Mag_50","Wet-season median baseflow","NATMed","BothImpact",83,27.3026315789474
"229","csci","Wet_BFL_Mag_50","Wet-season median baseflow","SB0","BioImpact",8,100
"230","csci","Wet_BFL_Mag_50","Wet-season median baseflow","SB2","BioImpact",26,86.6666666666667
"231","csci","Wet_BFL_Mag_50","Wet-season median baseflow","SB2","BothImpact",4,13.3333333333333
