"","Index","Hydro_endpoint","Flow.Metric.Name","Threshold","Result","Quantile","metric","n"
"98","asci","Peak_10","10-year flood magnitude","SB2","BothImpact",0.9,"asci_Peak_10",4
"99","asci","Peak_2","2-year flood magnitude","HB","NoImpact",0.9,"asci_Peak_2",6
"100","asci","Peak_2","2-year flood magnitude","HB","BioImpact",0.9,"asci_Peak_2",20
"101","asci","Peak_2","2-year flood magnitude","HB","HydroImpact",0.5,"asci_Peak_2",6
"102","asci","Peak_2","2-year flood magnitude","HB","BothImpact",0.5,"asci_Peak_2",23
"103","asci","Peak_2","2-year flood magnitude","HB","BothImpact",0.9,"asci_Peak_2",3
"104","asci","Peak_2","2-year flood magnitude","NAT","NoImpact",0.9,"asci_Peak_2",54
"105","asci","Peak_2","2-year flood magnitude","NAT","BioImpact",0.9,"asci_Peak_2",32
"106","asci","Peak_2","2-year flood magnitude","NAT","HydroImpact",0.5,"asci_Peak_2",57
"107","asci","Peak_2","2-year flood magnitude","NAT","HydroImpact",0.9,"asci_Peak_2",3
"108","asci","Peak_2","2-year flood magnitude","NAT","BothImpact",0.5,"asci_Peak_2",40
"109","asci","Peak_2","2-year flood magnitude","NAT","BothImpact",0.9,"asci_Peak_2",8
"110","asci","Peak_2","2-year flood magnitude","NATHigh","NoImpact",0.9,"asci_Peak_2",51
"111","asci","Peak_2","2-year flood magnitude","NATHigh","BioImpact",0.9,"asci_Peak_2",127
"112","asci","Peak_2","2-year flood magnitude","NATHigh","HydroImpact",0.5,"asci_Peak_2",51
"113","asci","Peak_2","2-year flood magnitude","NATHigh","BothImpact",0.5,"asci_Peak_2",147
"114","asci","Peak_2","2-year flood magnitude","NATHigh","BothImpact",0.9,"asci_Peak_2",20
"115","asci","Peak_2","2-year flood magnitude","NATLow","NoImpact",0.5,"asci_Peak_2",90
"116","asci","Peak_2","2-year flood magnitude","NATLow","NoImpact",0.9,"asci_Peak_2",119
"117","asci","Peak_2","2-year flood magnitude","NATLow","BioImpact",0.5,"asci_Peak_2",40
"118","asci","Peak_2","2-year flood magnitude","NATLow","BioImpact",0.9,"asci_Peak_2",70
"119","asci","Peak_2","2-year flood magnitude","NATLow","HydroImpact",0.5,"asci_Peak_2",29
"120","asci","Peak_2","2-year flood magnitude","NATLow","BothImpact",0.5,"asci_Peak_2",39
"121","asci","Peak_2","2-year flood magnitude","NATLow","BothImpact",0.9,"asci_Peak_2",9
"122","asci","Peak_2","2-year flood magnitude","NATMed","NoImpact",0.9,"asci_Peak_2",83
"123","asci","Peak_2","2-year flood magnitude","NATMed","BioImpact",0.9,"asci_Peak_2",96
"124","asci","Peak_2","2-year flood magnitude","NATMed","HydroImpact",0.5,"asci_Peak_2",86
"125","asci","Peak_2","2-year flood magnitude","NATMed","HydroImpact",0.9,"asci_Peak_2",3
"126","asci","Peak_2","2-year flood magnitude","NATMed","BothImpact",0.5,"asci_Peak_2",112
"127","asci","Peak_2","2-year flood magnitude","NATMed","BothImpact",0.9,"asci_Peak_2",16
"128","asci","Peak_2","2-year flood magnitude","SB0","NoImpact",0.9,"asci_Peak_2",2
"129","asci","Peak_2","2-year flood magnitude","SB0","BioImpact",0.9,"asci_Peak_2",2
"130","asci","Peak_2","2-year flood magnitude","SB0","HydroImpact",0.5,"asci_Peak_2",2
"131","asci","Peak_2","2-year flood magnitude","SB0","BothImpact",0.5,"asci_Peak_2",2
"132","asci","Peak_2","2-year flood magnitude","SB2","BioImpact",0.5,"asci_Peak_2",9
"133","asci","Peak_2","2-year flood magnitude","SB2","BioImpact",0.9,"asci_Peak_2",9
"134","asci","Peak_2","2-year flood magnitude","SB2","BothImpact",0.5,"asci_Peak_2",4
"135","asci","Peak_2","2-year flood magnitude","SB2","BothImpact",0.9,"asci_Peak_2",4
"136","asci","Peak_5","5-year flood magnitude","HB","NoImpact",0.9,"asci_Peak_5",6
"137","asci","Peak_5","5-year flood magnitude","HB","BioImpact",0.9,"asci_Peak_5",21
"138","asci","Peak_5","5-year flood magnitude","HB","HydroImpact",0.5,"asci_Peak_5",6
"139","asci","Peak_5","5-year flood magnitude","HB","BothImpact",0.5,"asci_Peak_5",23
"140","asci","Peak_5","5-year flood magnitude","HB","BothImpact",0.9,"asci_Peak_5",2
"141","asci","Peak_5","5-year flood magnitude","NAT","NoImpact",0.9,"asci_Peak_5",57
"142","asci","Peak_5","5-year flood magnitude","NAT","BioImpact",0.9,"asci_Peak_5",40
"143","asci","Peak_5","5-year flood magnitude","NAT","HydroImpact",0.5,"asci_Peak_5",57
"144","asci","Peak_5","5-year flood magnitude","NAT","BothImpact",0.5,"asci_Peak_5",40
"145","asci","Peak_5","5-year flood magnitude","NATHigh","NoImpact",0.9,"asci_Peak_5",51
"146","asci","Peak_5","5-year flood magnitude","NATHigh","BioImpact",0.9,"asci_Peak_5",118
"147","asci","Peak_5","5-year flood magnitude","NATHigh","HydroImpact",0.5,"asci_Peak_5",51
"148","asci","Peak_5","5-year flood magnitude","NATHigh","BothImpact",0.5,"asci_Peak_5",147
"149","asci","Peak_5","5-year flood magnitude","NATHigh","BothImpact",0.9,"asci_Peak_5",29
"150","asci","Peak_5","5-year flood magnitude","NATLow","NoImpact",0.9,"asci_Peak_5",119
"151","asci","Peak_5","5-year flood magnitude","NATLow","BioImpact",0.9,"asci_Peak_5",72
"152","asci","Peak_5","5-year flood magnitude","NATLow","HydroImpact",0.5,"asci_Peak_5",119
"153","asci","Peak_5","5-year flood magnitude","NATLow","BothImpact",0.5,"asci_Peak_5",79
"154","asci","Peak_5","5-year flood magnitude","NATLow","BothImpact",0.9,"asci_Peak_5",7
"155","asci","Peak_5","5-year flood magnitude","NATMed","NoImpact",0.9,"asci_Peak_5",86
"156","asci","Peak_5","5-year flood magnitude","NATMed","BioImpact",0.9,"asci_Peak_5",104
"157","asci","Peak_5","5-year flood magnitude","NATMed","HydroImpact",0.5,"asci_Peak_5",86
"158","asci","Peak_5","5-year flood magnitude","NATMed","BothImpact",0.5,"asci_Peak_5",112
"159","asci","Peak_5","5-year flood magnitude","NATMed","BothImpact",0.9,"asci_Peak_5",8
"160","asci","Peak_5","5-year flood magnitude","SB0","NoImpact",0.9,"asci_Peak_5",2
"161","asci","Peak_5","5-year flood magnitude","SB0","BioImpact",0.9,"asci_Peak_5",2
"162","asci","Peak_5","5-year flood magnitude","SB0","HydroImpact",0.5,"asci_Peak_5",2
"163","asci","Peak_5","5-year flood magnitude","SB0","BothImpact",0.5,"asci_Peak_5",2
"164","asci","Peak_5","5-year flood magnitude","SB2","BioImpact",0.9,"asci_Peak_5",9
"165","asci","Peak_5","5-year flood magnitude","SB2","BothImpact",0.5,"asci_Peak_5",13
"166","asci","Peak_5","5-year flood magnitude","SB2","BothImpact",0.9,"asci_Peak_5",4
"167","asci","Q99","Magnitude of largest annual storm","HB","NoImpact",0.9,"asci_Q99",6
"168","asci","Q99","Magnitude of largest annual storm","HB","BioImpact",0.9,"asci_Q99",22
"169","asci","Q99","Magnitude of largest annual storm","HB","HydroImpact",0.5,"asci_Q99",6
"170","asci","Q99","Magnitude of largest annual storm","HB","BothImpact",0.5,"asci_Q99",23
"171","asci","Q99","Magnitude of largest annual storm","HB","BothImpact",0.9,"asci_Q99",1
"172","asci","Q99","Magnitude of largest annual storm","NAT","NoImpact",0.9,"asci_Q99",57
"173","asci","Q99","Magnitude of largest annual storm","NAT","BioImpact",0.9,"asci_Q99",40
"174","asci","Q99","Magnitude of largest annual storm","NAT","HydroImpact",0.5,"asci_Q99",57
"175","asci","Q99","Magnitude of largest annual storm","NAT","BothImpact",0.5,"asci_Q99",40
"176","asci","Q99","Magnitude of largest annual storm","NATHigh","NoImpact",0.9,"asci_Q99",51
"177","asci","Q99","Magnitude of largest annual storm","NATHigh","BioImpact",0.9,"asci_Q99",132
"178","asci","Q99","Magnitude of largest annual storm","NATHigh","HydroImpact",0.5,"asci_Q99",51
"179","asci","Q99","Magnitude of largest annual storm","NATHigh","BothImpact",0.5,"asci_Q99",147
"180","asci","Q99","Magnitude of largest annual storm","NATHigh","BothImpact",0.9,"asci_Q99",15
"181","asci","Q99","Magnitude of largest annual storm","NATLow","NoImpact",0.9,"asci_Q99",119
"182","asci","Q99","Magnitude of largest annual storm","NATLow","BioImpact",0.9,"asci_Q99",74
"183","asci","Q99","Magnitude of largest annual storm","NATLow","HydroImpact",0.5,"asci_Q99",119
"184","asci","Q99","Magnitude of largest annual storm","NATLow","BothImpact",0.5,"asci_Q99",79
"185","asci","Q99","Magnitude of largest annual storm","NATLow","BothImpact",0.9,"asci_Q99",5
"186","asci","Q99","Magnitude of largest annual storm","NATMed","NoImpact",0.9,"asci_Q99",86
"187","asci","Q99","Magnitude of largest annual storm","NATMed","BioImpact",0.9,"asci_Q99",106
"188","asci","Q99","Magnitude of largest annual storm","NATMed","HydroImpact",0.5,"asci_Q99",86
"189","asci","Q99","Magnitude of largest annual storm","NATMed","BothImpact",0.5,"asci_Q99",112
"190","asci","Q99","Magnitude of largest annual storm","NATMed","BothImpact",0.9,"asci_Q99",6
"191","asci","Q99","Magnitude of largest annual storm","SB0","NoImpact",0.9,"asci_Q99",2
"192","asci","Q99","Magnitude of largest annual storm","SB0","BioImpact",0.9,"asci_Q99",2
"193","asci","Q99","Magnitude of largest annual storm","SB0","HydroImpact",0.5,"asci_Q99",2
"194","asci","Q99","Magnitude of largest annual storm","SB0","BothImpact",0.5,"asci_Q99",2
"195","asci","Q99","Magnitude of largest annual storm","SB2","BioImpact",0.9,"asci_Q99",9
"196","asci","Q99","Magnitude of largest annual storm","SB2","BothImpact",0.5,"asci_Q99",13
"197","asci","Q99","Magnitude of largest annual storm","SB2","BothImpact",0.9,"asci_Q99",4
"198","asci","SP_Mag","Spring recession magnitude","HB","NoImpact",0.5,"asci_SP_Mag",6
"199","asci","SP_Mag","Spring recession magnitude","HB","NoImpact",0.9,"asci_SP_Mag",6
"200","asci","SP_Mag","Spring recession magnitude","HB","BioImpact",0.5,"asci_SP_Mag",23
"201","asci","SP_Mag","Spring recession magnitude","HB","BioImpact",0.9,"asci_SP_Mag",23
"202","asci","SP_Mag","Spring recession magnitude","NAT","NoImpact",0.5,"asci_SP_Mag",55
"203","asci","SP_Mag","Spring recession magnitude","NAT","NoImpact",0.9,"asci_SP_Mag",57
"204","asci","SP_Mag","Spring recession magnitude","NAT","BioImpact",0.5,"asci_SP_Mag",40
"205","asci","SP_Mag","Spring recession magnitude","NAT","BioImpact",0.9,"asci_SP_Mag",40
"206","asci","SP_Mag","Spring recession magnitude","NAT","HydroImpact",0.5,"asci_SP_Mag",2
"207","asci","SP_Mag","Spring recession magnitude","NATHigh","NoImpact",0.5,"asci_SP_Mag",50
"208","asci","SP_Mag","Spring recession magnitude","NATHigh","NoImpact",0.9,"asci_SP_Mag",51
"209","asci","SP_Mag","Spring recession magnitude","NATHigh","BioImpact",0.5,"asci_SP_Mag",146
"210","asci","SP_Mag","Spring recession magnitude","NATHigh","BioImpact",0.9,"asci_SP_Mag",142
"211","asci","SP_Mag","Spring recession magnitude","NATHigh","HydroImpact",0.5,"asci_SP_Mag",1
"212","asci","SP_Mag","Spring recession magnitude","NATHigh","BothImpact",0.5,"asci_SP_Mag",1
"213","asci","SP_Mag","Spring recession magnitude","NATHigh","BothImpact",0.9,"asci_SP_Mag",5
"214","asci","SP_Mag","Spring recession magnitude","NATLow","NoImpact",0.5,"asci_SP_Mag",67
"215","asci","SP_Mag","Spring recession magnitude","NATLow","NoImpact",0.9,"asci_SP_Mag",119
"216","asci","SP_Mag","Spring recession magnitude","NATLow","BioImpact",0.5,"asci_SP_Mag",19
"217","asci","SP_Mag","Spring recession magnitude","NATLow","BioImpact",0.9,"asci_SP_Mag",79
"218","asci","SP_Mag","Spring recession magnitude","NATLow","HydroImpact",0.5,"asci_SP_Mag",52
"219","asci","SP_Mag","Spring recession magnitude","NATLow","BothImpact",0.5,"asci_SP_Mag",60
"220","asci","SP_Mag","Spring recession magnitude","NATMed","NoImpact",0.5,"asci_SP_Mag",84
"221","asci","SP_Mag","Spring recession magnitude","NATMed","NoImpact",0.9,"asci_SP_Mag",86
"222","asci","SP_Mag","Spring recession magnitude","NATMed","BioImpact",0.5,"asci_SP_Mag",112
"223","asci","SP_Mag","Spring recession magnitude","NATMed","BioImpact",0.9,"asci_SP_Mag",107
"224","asci","SP_Mag","Spring recession magnitude","NATMed","HydroImpact",0.5,"asci_SP_Mag",2
"225","asci","SP_Mag","Spring recession magnitude","NATMed","BothImpact",0.9,"asci_SP_Mag",5
"226","asci","SP_Mag","Spring recession magnitude","SB0","NoImpact",0.5,"asci_SP_Mag",2
"227","asci","SP_Mag","Spring recession magnitude","SB0","NoImpact",0.9,"asci_SP_Mag",2
"228","asci","SP_Mag","Spring recession magnitude","SB0","BioImpact",0.5,"asci_SP_Mag",2
"229","asci","SP_Mag","Spring recession magnitude","SB0","BioImpact",0.9,"asci_SP_Mag",2
"230","asci","SP_Mag","Spring recession magnitude","SB2","BioImpact",0.9,"asci_SP_Mag",13
"231","asci","SP_Mag","Spring recession magnitude","SB2","BothImpact",0.5,"asci_SP_Mag",13
"232","asci","Wet_BFL_Mag_10","Wet-season low baseflow","HB","NoImpact",0.9,"asci_Wet_BFL_Mag_10",6
"233","asci","Wet_BFL_Mag_10","Wet-season low baseflow","HB","BioImpact",0.9,"asci_Wet_BFL_Mag_10",23
"234","asci","Wet_BFL_Mag_10","Wet-season low baseflow","HB","HydroImpact",0.5,"asci_Wet_BFL_Mag_10",6
"235","asci","Wet_BFL_Mag_10","Wet-season low baseflow","HB","BothImpact",0.5,"asci_Wet_BFL_Mag_10",23
"236","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","NoImpact",0.9,"asci_Wet_BFL_Mag_10",57
"237","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","BioImpact",0.9,"asci_Wet_BFL_Mag_10",40
"238","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","HydroImpact",0.5,"asci_Wet_BFL_Mag_10",57
"239","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NAT","BothImpact",0.5,"asci_Wet_BFL_Mag_10",40
"240","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATHigh","NoImpact",0.9,"asci_Wet_BFL_Mag_10",51
"241","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATHigh","BioImpact",0.9,"asci_Wet_BFL_Mag_10",142
"242","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATHigh","HydroImpact",0.5,"asci_Wet_BFL_Mag_10",51
"243","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATHigh","BothImpact",0.5,"asci_Wet_BFL_Mag_10",147
"244","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATHigh","BothImpact",0.9,"asci_Wet_BFL_Mag_10",5
"245","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","NoImpact",0.9,"asci_Wet_BFL_Mag_10",119
"246","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","BioImpact",0.9,"asci_Wet_BFL_Mag_10",74
"247","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","HydroImpact",0.5,"asci_Wet_BFL_Mag_10",119
"248","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","BothImpact",0.5,"asci_Wet_BFL_Mag_10",79
"249","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATLow","BothImpact",0.9,"asci_Wet_BFL_Mag_10",5
"250","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","NoImpact",0.9,"asci_Wet_BFL_Mag_10",86
"251","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","BioImpact",0.9,"asci_Wet_BFL_Mag_10",107
"252","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","HydroImpact",0.5,"asci_Wet_BFL_Mag_10",86
"253","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","BothImpact",0.5,"asci_Wet_BFL_Mag_10",112
"254","asci","Wet_BFL_Mag_10","Wet-season low baseflow","NATMed","BothImpact",0.9,"asci_Wet_BFL_Mag_10",5
"255","asci","Wet_BFL_Mag_10","Wet-season low baseflow","SB0","NoImpact",0.9,"asci_Wet_BFL_Mag_10",2
"256","asci","Wet_BFL_Mag_10","Wet-season low baseflow","SB0","BioImpact",0.9,"asci_Wet_BFL_Mag_10",2
"257","asci","Wet_BFL_Mag_10","Wet-season low baseflow","SB0","HydroImpact",0.5,"asci_Wet_BFL_Mag_10",2
"258","asci","Wet_BFL_Mag_10","Wet-season low baseflow","SB0","BothImpact",0.5,"asci_Wet_BFL_Mag_10",2
"259","asci","Wet_BFL_Mag_10","Wet-season low baseflow","SB2","BioImpact",0.9,"asci_Wet_BFL_Mag_10",9
"260","asci","Wet_BFL_Mag_10","Wet-season low baseflow","SB2","BothImpact",0.5,"asci_Wet_BFL_Mag_10",13
"261","asci","Wet_BFL_Mag_10","Wet-season low baseflow","SB2","BothImpact",0.9,"asci_Wet_BFL_Mag_10",4
"262","asci","Wet_BFL_Mag_50","Wet-season median baseflow","HB","NoImpact",0.9,"asci_Wet_BFL_Mag_50",6
"263","asci","Wet_BFL_Mag_50","Wet-season median baseflow","HB","BioImpact",0.9,"asci_Wet_BFL_Mag_50",23
"264","asci","Wet_BFL_Mag_50","Wet-season median baseflow","HB","HydroImpact",0.5,"asci_Wet_BFL_Mag_50",6
"265","asci","Wet_BFL_Mag_50","Wet-season median baseflow","HB","BothImpact",0.5,"asci_Wet_BFL_Mag_50",23
"266","asci","Wet_BFL_Mag_50","Wet-season median baseflow","NAT","NoImpact",0.9,"asci_Wet_BFL_Mag_50",57
